faas-netes - Community Edition (CE)
Warning: Commercial use limited to 60 days.
Learn more: https://github.com/openfaas/faas/blob/master/EULA.md

Version: dev Commit: 
W0531 05:37:57.030052       1 client_config.go:667] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2025/05/31 05:37:57 HTTP Read Timeout: 1m5s
2025/05/31 05:37:57 HTTP Write Timeout: 1m5s
2025/05/31 05:37:57 ImagePullPolicy: Always
2025/05/31 05:37:57 DefaultFunctionNamespace: openfaas-fn
I0531 05:37:57.030948       1 shared_informer.go:313] Waiting for caches to sync for faas-netes:deployments
I0531 05:37:57.132275       1 shared_informer.go:320] Caches are synced for faas-netes:deployments
I0531 05:37:57.132344       1 shared_informer.go:313] Waiting for caches to sync for faas-netes:endpoints
I0531 05:37:57.232847       1 shared_informer.go:320] Caches are synced for faas-netes:endpoints
2025/05/31 05:39:33 nodeinfo.openfaas-fn took 0.017888 seconds
2025/05/31 05:39:33 nodeinfo.openfaas-fn took 0.004061 seconds
2025/05/31 05:39:33 nodeinfo.openfaas-fn took 0.004358 seconds
2025/05/31 05:39:33 nodeinfo.openfaas-fn took 0.003269 seconds
2025/05/31 05:39:33 nodeinfo.openfaas-fn took 0.003365 seconds
2025/05/31 05:39:33 nodeinfo.openfaas-fn took 0.003202 seconds
2025/05/31 05:39:33 nodeinfo.openfaas-fn took 0.003856 seconds
2025/05/31 05:39:34 nodeinfo.openfaas-fn took 0.003399 seconds
2025/05/31 05:39:34 nodeinfo.openfaas-fn took 0.003777 seconds
2025/05/31 05:39:34 nodeinfo.openfaas-fn took 0.005732 seconds
2025/05/31 05:39:34 nodeinfo.openfaas-fn took 0.003474 seconds
2025/05/31 05:39:34 nodeinfo.openfaas-fn took 0.003107 seconds
2025/05/31 05:39:34 nodeinfo.openfaas-fn took 0.002806 seconds
2025/05/31 05:39:34 nodeinfo.openfaas-fn took 0.003223 seconds
2025/05/31 05:39:34 nodeinfo.openfaas-fn took 0.002854 seconds
2025/05/31 05:39:34 nodeinfo.openfaas-fn took 0.002770 seconds
2025/05/31 05:39:35 nodeinfo.openfaas-fn took 0.003021 seconds
2025/05/31 05:39:35 nodeinfo.openfaas-fn took 0.003613 seconds
2025/05/31 05:39:35 nodeinfo.openfaas-fn took 0.002798 seconds
2025/05/31 05:40:25 nodeinfo.openfaas-fn took 0.005012 seconds
2025/05/31 05:40:25 nodeinfo.openfaas-fn took 0.004608 seconds
2025/05/31 05:40:25 nodeinfo.openfaas-fn took 0.003781 seconds
2025/05/31 05:40:25 nodeinfo.openfaas-fn took 0.004503 seconds
2025/05/31 05:40:25 nodeinfo.openfaas-fn took 0.003727 seconds
2025/05/31 05:40:25 nodeinfo.openfaas-fn took 0.002445 seconds
2025/05/31 05:40:25 nodeinfo.openfaas-fn took 0.001696 seconds
2025/05/31 05:40:25 nodeinfo.openfaas-fn took 0.001483 seconds
2025/05/31 05:40:25 nodeinfo.openfaas-fn took 0.001616 seconds
2025/05/31 05:40:25 nodeinfo.openfaas-fn took 0.001363 seconds
